Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2004-01-31;0.325181;0.374565;0.31941;0.340271;9387775589.6865
2004-02-29;0.338622;0.363423;0.327273;0.360648;5828481036.1166
2004-03-31;0.363166;0.424313;0.355887;0.407798;13743829451.495
2004-04-30;0.405616;0.446062;0.384242;0.388767;10564770222.818
2004-05-31;0.392017;0.434022;0.384529;0.423098;6280317927.6094
2004-06-30;0.41893;0.515268;0.416215;0.490684;9743081612.5266
2004-07-31;0.48378;0.507069;0.433399;0.487702;11484380994.838
2004-08-31;0.471108;0.530577;0.447899;0.520206;9489041601.1235
2004-09-30;0.517143;0.592404;0.515268;0.584502;9090768613.2322
2004-10-31;0.589835;0.802382;0.567712;0.790135;19091457891.45
2004-11-30;0.791716;1.04892;0.784605;1.01108;20661062724.534
2004-12-31;1.01108;1.02479;0.929002;0.971177;18932536193.453
2005-01-31;0.97799;1.17473;0.944113;1.15965;30531294463.694
2005-02-28;1.16178;1.3704;1.15477;1.353;25430660673.642
2005-03-31;1.36002;1.36042;1.17118;1.25672;17399362506.742
2005-04-30;1.26956;1.34067;1.02529;1.08742;23031181238.439
2005-05-31;1.09325;1.23468;0.998528;1.19922;15283442471.186
2005-06-30;1.20338;1.22935;1.07124;1.11013;13461323916.325
2005-07-31;1.11082;1.33859;1.09453;1.28613;12072915044.838
2005-08-31;1.28467;1.4576;1.26738;1.41423;11190746308.774
2005-09-30;1.41753;1.64566;1.39003;1.61681;14605486830.139
2005-10-31;1.63351;1.74858;1.44367;1.73701;22063179993.832
2005-11-30;1.72694;2.14315;1.71528;2.04564;15916276057.253
2005-12-31;2.07756;2.27639;2.07511;2.16823;15436201310.213
2006-01-31;2.18393;2.60596;2.13702;2.27787;25875017907.63
2006-02-28;2.26176;2.30551;1.89701;2.06562;22191702933.679
2006-03-31;2.08093;2.11114;1.73929;1.89168;27431856289.397
2006-04-30;1.91993;2.17307;1.84131;2.12289;23799290461.207
2006-05-31;2.13426;2.2261;1.77012;1.80269;18464083774.334
2006-06-30;1.80506;1.90305;1.67123;1.72724;21226624655.153
2006-07-31;1.7295;2.06965;1.51272;2.04993;20695352999.294
2006-08-31;2.0274;2.11133;1.88745;2.04664;21170007086.916
2006-09-30;2.06503;2.34611;2.04564;2.32182;20983117115.404
2006-10-31;2.26206;2.49151;2.18947;2.44568;17010778570.877
2006-11-30;2.44635;2.80924;2.3463;2.76509;16371498899.573
2006-12-31;2.76932;2.78455;2.31581;2.55848;20003241983.065
2007-01-31;2.60223;2.94978;2.46946;2.58542;32160788897.191
2007-02-28;2.59785;2.7392;2.49939;2.55137;16246010061.141
2007-03-31;2.53327;2.92024;2.52536;2.80222;18848193811.637
2007-04-30;2.83916;3.0916;2.70255;3.01002;15942205474.032
2007-05-31;3.0034;3.68332;2.97279;3.65518;20561426653.773
2007-06-30;3.6522;3.84827;3.47995;3.68016;27559096901.747
2007-07-31;3.65279;4.49122;3.59749;3.97389;28420261136.777
2007-08-31;4.03019;4.213;3.36656;4.17568;28797056016.915
2007-09-30;4.22219;4.67444;3.92017;4.62823;24737178899.542
2007-10-31;4.66347;5.73412;4.61282;5.72916;27437093233.548
2007-11-30;5.6881;5.81086;4.54337;5.49549;30987227296.417
2007-12-31;5.48266;6.12147;5.33864;5.97462;20395291443.931
2008-01-31;6.01658;6.0397;3.80421;4.08304;41560309592.687
2008-02-29;4.11028;4.11888;3.48143;3.77033;29378192327.486
2008-03-31;3.75188;4.39553;3.55887;4.32806;27139634674.946
2008-04-30;4.41231;5.42874;4.33173;5.24602;26954526912.627
2008-05-31;5.27681;5.79792;5.18774;5.69262;21445265065.457
2008-06-30;5.68542;5.72916;4.9513;5.05064;23042726854.478
2008-07-31;4.94802;5.45626;4.41973;4.79395;23258651180.62
2008-08-31;4.82378;5.44305;4.61242;5.11247;15486819340.277
2008-09-30;5.20414;5.23248;3.03403;3.42782;28476263150.029
2008-10-31;3.37407;3.51077;2.56389;3.24539;48849788221.818
2008-11-30;3.1944;3.37141;2.38731;2.79471;27964135720.438
2008-12-31;2.75422;3.12479;2.54978;2.57447;23928565250.593
2009-01-31;2.5811;2.92962;2.35856;2.71837;21324770264.056
2009-02-28;2.68448;3.10671;2.60962;2.69396;16136112868.554
2009-03-31;2.65437;3.3168;2.4829;3.17042;18248224948.836
2009-04-30;3.13833;3.83691;3.13329;3.79444;13957448141.424
2009-05-31;3.79444;4.09883;3.59965;4.09587;11175648847.376
2009-06-30;4.11226;4.41528;4.00766;4.29558;14969035827.419
2009-07-31;4.32846;4.97587;4.0537;4.92779;12907213472.097
2009-08-31;4.98034;5.20216;4.80827;5.07345;9645869696.3457
2009-09-30;5.06714;5.69708;4.9503;5.59002;11795980149.39
2009-10-31;5.59424;6.29521;5.45015;5.68542;15267083858.399
2009-11-30;5.72523;6.2727;5.59723;6.02883;9975226490.1154
2009-12-31;6.09975;6.45256;5.69065;6.35525;13454389560.56
2010-01-31;6.43902;6.50241;5.73756;5.7922;17895918417.661
2010-02-28;5.80838;6.18776;5.75615;6.17106;12726549945.589
2010-03-31;6.20503;7.16269;6.19664;7.08772;14352158079.806
2010-04-30;7.16761;8.21751;7.02007;7.8746;14598350859.398
2010-05-31;7.97475;8.07943;6.00916;7.74708;21367680420.641
2010-06-30;7.83271;8.41503;7.30452;7.58611;19677408644.595
2010-07-31;7.66393;8.02324;7.22679;7.75863;18502408325.983
2010-08-31;7.85464;7.97098;7.1048;7.33195;11333100735.155
2010-09-30;7.46491;8.88825;7.42827;8.55775;14008111268.549
2010-10-31;8.63538;9.6209;8.3773;9.07747;14392778337.222
2010-11-30;9.12745;9.69002;8.98009;9.38484;11227381395.798
2010-12-31;9.52015;9.852;9.49843;9.72855;8236395643.6187
2011-01-31;9.79571;10.5127;9.79571;10.2334;12790256396.961
2011-02-28;10.3014;11.0057;10.1848;10.653;10979429411.666
2011-03-31;10.7144;10.9078;9.83916;10.5097;13367557324.06
2011-04-30;10.5888;10.7104;9.65645;10.5593;10917247504.397
2011-05-31;10.5464;10.6105;9.93495;10.4912;8176451598.8914
2011-06-30;10.5275;10.6195;9.36509;10.1236;10950808299.445
2011-07-31;10.1324;12.1987;10.0801;11.777;12580519339.771
2011-08-31;12.003;12.0486;10.647;11.6071;19036380492.985
2011-09-30;11.6387;12.7547;11.0531;11.4994;14158026276.25
2011-10-31;11.4726;12.8683;10.6836;12.2077;15519597500.19
2011-11-30;11.9893;12.3045;10.9581;11.5273;10605799337.572
2011-12-31;11.5339;12.3389;11.3906;12.2134;7452714747.2694
2012-01-31;12.3617;13.8204;12.3359;13.7681;8115587286.9835
2012-02-29;13.8263;16.5169;13.6921;16.3608;13452419511.239
2012-03-31;16.5288;18.743;15.5686;18.0813;18275555452.451
2012-04-30;18.1495;19.4215;16.7381;17.6122;18235748113.574
2012-05-31;17.6408;17.9984;15.7495;17.4224;13009161352.187
2012-06-30;17.1657;17.7947;16.5414;17.6132;9238367669.5322
2012-07-31;17.6349;18.6956;17.1925;18.4221;10541728052.689
2012-08-31;18.576;20.6235;18.1029;20.1486;9756035291.4187
2012-09-30;20.1632;21.3544;19.8698;20.2059;10840158762.215
2012-10-31;20.3292;20.5003;17.8027;18.0329;14309685382.226
2012-11-30;18.1198;18.263;15.3879;17.8106;15179749837.745
2012-12-31;18.0626;18.0912;15.2506;16.192;14226931323.933
2013-01-31;16.8505;16.8863;13.2357;13.8591;15388625119.981
2013-02-28;13.9695;14.8398;13.3949;13.5094;10910046059.339
2013-03-31;13.4058;14.3826;12.8229;13.5469;10707164269.732
2013-04-30;13.532;13.6259;11.7859;13.5498;12784737820.192
2013-05-31;13.6012;14.2639;12.9039;13.8551;10972041459.922
2013-06-30;13.8855;14.0003;12.0506;12.2876;8138268923.6222
2013-07-31;12.4061;14.0912;12.3607;13.9411;7577419867.209
2013-08-31;14.0367;15.9301;13.9635;15.1964;9283652199.8849
2013-09-30;15.292;15.7524;13.869;14.8703;9932081233.6759
2013-10-31;14.8359;16.7232;14.831;16.3044;9009860873.6227
2013-11-30;16.2621;17.4146;15.9825;17.3455;5983760541.7471
2013-12-31;17.4049;17.94;16.8052;17.4975;8073544204.6941
2014-01-31;17.3327;17.4729;15.3948;15.6142;10077577642.68
